img_name,mask_name,img_shape_0,img_shape_1,mask_shape_0,mask_shape_1,ratio,convex_ratio,r_min,r_max,r_mean,r_median,r_std,g_min,g_max,g_mean,g_median,g_std,b_min,b_max,b_mean,b_median,b_std
1.JPG,binary_1.tif,4000,6000,4000,6000,1.8356496666666666,3.694607343088579e-06,0,193,39.89196905869088,24.0,36.25074695745675,3,199,54.88274724719952,37.0,45.31119677847598,5,208,68.08574489687165,56.0,47.955398851745045
2.JPG,binary_2.tif,4000,6000,4000,6000,2.1178385833333335,2.8125944341326876e-06,0,244,35.735146537277366,19.0,34.61711714803009,2,251,52.07965041505904,34.0,42.86612366914757,2,248,63.786497914961615,55.0,42.153507582366785
3.JPG,binary_3.tif,4000,6000,4000,6000,5.5507682916666665,1.18838999622167e-06,0,255,63.38304336756344,52.0,54.823595689308156,0,255,87.79470989278339,86.0,60.05760424323768,3,255,107.17633313530793,114.0,58.77135873718156
4.JPG,binary_4.tif,4000,6000,4000,6000,3.2811019166666666,1.9505736394766324e-06,0,201,50.43253490554413,36.0,37.445620697219006,3,213,71.03185180270272,61.0,46.08575993578402,5,219,87.58824254258334,88.0,46.32258744701816
5.JPG,binary_5.tif,4000,6000,4000,6000,2.2839669166666665,2.5990161870131082e-06,0,245,80.94616982873458,63.0,60.62496157686189,0,250,100.89796363735559,91.0,63.029354606891445,6,255,123.1770030597724,134.0,62.355944159380286
6.JPG,binary_6.tif,4000,6000,4000,6000,1.472151875,4.52767718333308e-06,0,204,68.36625024647194,55.0,48.982371333055475,4,199,84.3832779358328,78.0,51.36793580317763,7,201,100.47562040505902,109.0,49.63504030114972
7.JPG,binary_7.tif,4000,6000,4000,6000,1.40219,5.398050431601016e-06,4,223,50.997989838745305,42.0,34.73129526181651,9,234,72.75433325970106,70.0,36.76008197680118,11,238,91.57896325749209,87.0,41.37874968559628
8.JPG,binary_8.tif,4000,6000,4000,6000,1.8537668333333333,3.4326285938609694e-06,3,183,36.929926550324765,24.0,37.34231347870392,4,171,43.240164786638196,31.0,35.56519093882558,4,168,55.60429406701025,47.0,35.66732309580311
9.JPG,binary_9.tif,4000,6000,4000,6000,1.7895052916666667,4.055309540503516e-06,0,254,68.25091731969026,57.0,54.63180011861349,3,255,71.39061613788154,64.0,51.894715129430246,6,255,87.62007338557522,93.0,52.732799317952306
10.JPG,binary_10.tif,4000,6000,4000,6000,3.96504525,1.8130711190096488e-06,0,255,60.44038193995296,45.0,50.82663964478578,0,255,63.63256362805997,48.0,48.94095558910766,4,255,82.97670029012441,80.0,52.421580903076965
11.JPG,binary_11.tif,4000,6000,4000,6000,3.4280255833333335,2.339622681602927e-06,0,255,82.30172524469496,80.0,46.70092122044808,2,246,89.04904292325656,90.0,42.44465622019857,12,255,120.44338849796112,124.0,45.803679936673696
12.JPG,binary_12.tif,4000,6000,4000,6000,4.539981833333333,1.6485467506783763e-06,0,255,82.70238727648155,73.0,51.19626268048209,0,195,75.59593451619311,72.0,37.5926957726924,10,235,109.42017544264854,108.0,44.65068681391251
13.JPG,binary_13.tif,4000,6000,4000,6000,4.080900791666667,1.64844212035753e-06,0,255,52.593098958333336,43.0,39.571520268579995,3,255,78.35397263071896,71.0,42.87685784035862,5,255,104.91751429738562,100.0,47.95069201817908
14.JPG,binary_14.tif,4000,6000,4000,6000,2.7607345,2.7857334238207843e-06,0,255,99.5560296318751,91.0,51.476520825639454,0,245,107.28282525908945,103.0,48.880828105754325,10,255,137.159940129971,136.0,52.058052457106484
15.JPG,binary_15.tif,4000,6000,4000,6000,3.9604580416666666,1.343248201061057e-06,0,255,80.78055688985422,82.0,41.5175954718133,0,254,94.87885844367403,98.0,45.32117091181814,9,255,123.58951432688693,125.0,51.207615915481725
16.JPG,binary_16.tif,6000,4000,6000,4000,4.2094485,1.3308858927938358e-06,0,255,66.91029623587804,62.0,34.57744720677461,0,255,87.01905489127606,84.0,40.77949541829756,13,255,107.12669792072114,100.0,46.72087409835131
17.JPG,binary_17.tif,4000,6000,4000,6000,3.7054453333333335,1.6074886455702311e-06,0,255,74.72309014084507,66.0,44.37497448299574,0,255,106.66628169014085,110.0,47.31637552320597,3,255,122.81285070422535,117.0,48.48137159819738
18.JPG,binary_18.tif,4000,6000,4000,6000,3.438491583333333,1.5127372872295586e-06,0,255,96.12440825486361,88.0,48.8387449664923,0,255,112.89966185992206,110.0,47.94826171025425,17,255,137.03837207539158,133.0,49.88789876042468
19.JPG,binary_19.tif,4000,6000,4000,6000,3.08888,2.4868624065014855e-06,0,255,65.91770679362557,63.0,33.291459253623856,0,255,88.38125717595008,96.0,38.37863581415881,7,255,107.66460156431503,106.0,37.61886929525813
20.JPG,binary_20.tif,4000,6000,4000,6000,4.9191577083333335,1.3657898773150079e-06,0,255,60.56009644909595,49.0,45.91920867051525,0,255,68.29882627742259,61.0,47.40641279552245,8,255,91.69727136974524,88.0,55.17673290675578
21.JPG,binary_21.tif,4000,6000,4000,6000,3.9819078333333335,1.4835811830370042e-06,0,255,100.20733097693552,97.0,45.57098349712698,3,207,101.78055374482861,104.0,37.92597211324834,14,235,123.07637429846956,119.0,41.17356949408899
22.JPG,binary_22.tif,4000,6000,4000,6000,3.4521426666666666,1.8354960058274316e-06,0,255,103.90161437250016,99.0,66.66994484915942,0,255,105.82878964291963,111.0,59.33762373156722,9,255,146.08903179879465,162.0,68.4192435397954
23.JPG,binary_23.tif,4000,6000,4000,6000,4.187522625,1.7724480622113712e-06,0,255,81.48323538032759,77.0,45.552661355767974,0,255,98.59271587335496,103.0,47.23387425382765,4,255,116.20372155181407,119.0,46.68012376230329
24.JPG,binary_24.tif,4000,6000,4000,6000,5.668620083333333,1.2776138256220029e-06,0,255,50.16551104857299,38.0,39.572557564809976,0,255,51.63431491441637,44.0,34.653588575308454,0,255,77.35826999805597,75.0,44.1364841919306
25.JPG,binary_25.tif,4000,6000,4000,6000,2.864204625,1.714866654529691e-06,0,255,82.66385658035601,87.0,47.791230136855766,0,255,88.2312278855401,93.0,49.10744914858367,4,255,98.57262615448822,103.0,49.209520443925015
26.JPG,binary_26.tif,4000,6000,4000,6000,4.112548291666666,1.610852639941908e-06,0,255,89.83608082821462,86.0,64.94403726542984,2,255,84.50395344343652,87.0,56.551863801877325,3,255,102.49157191961925,110.0,66.54924628065606
27.JPG,binary_27.tif,4000,6000,4000,6000,0.9224304166666667,8.704870017443966e-06,0,255,60.03176149002335,52.0,40.269370113633066,0,255,73.94240878254999,69.0,41.26398317986871,9,255,108.01700955058045,108.0,44.818181233127966
28.JPG,binary_28.tif,4000,6000,4000,6000,1.8713795,3.1431305309245238e-06,0,255,111.49968599193495,111.0,61.911638080460975,4,255,129.38861527952227,141.0,59.317604735833484,9,255,152.47568916506907,170.0,59.95392429036446
29.JPG,binary_29.tif,4000,6000,4000,6000,3.73798675,1.8982049706005573e-06,0,255,68.72074091651429,58.0,50.89894394597426,0,255,78.6028475314415,72.0,54.29438669731922,0,255,95.33711980569785,93.0,57.236789498780425
30.JPG,binary_30.tif,4000,6000,4000,6000,4.4924965,1.6612300411592652e-06,0,255,77.28227596136568,69.0,48.507611069783465,0,255,99.06911752008607,100.0,44.21555971264026,21,255,138.3798908363689,132.0,49.31233198542175
31.JPG,binary_31.tif,4000,6000,4000,6000,2.897341875,2.7322756345132596e-06,0,255,93.56194740567162,95.0,47.63672063629761,0,255,110.84205566006946,120.0,49.40002021304206,8,255,130.80313615044133,139.0,50.07429689633281
